01,coral-arborescent
02,coral-branching
03,coral-columnar
04,coral-encrusting
05,coral-explanate
06,coral-laminar
07,coral-massive
08,algae-encrusting coralline
09,algae-fleshy brown
10,algae-fleshy green
11,algae-fleshy red
12,algae-turf
13,algae-calcareous green
14,algae-calcareous red
15,sediment-mud
16,sediment-sand
17,sediment-rock
18,sediment-rubble
19,other/unknown
